title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
Investigation of the Persuasiveness of Social Influence in Persuasive Technology and the Effect of Age and Gender;Oyibo;"Mean scores of social influence strategies and group difference significance test (the bold values indicate significant difference between two groups); young = age 18-24, old = age >24; artificially extended to the age groups of the recommender.";Scale;9;1;9;<20;;6,79;;;;;6,005;5,86;;;;;
Investigation of the Persuasiveness of Social Influence in Persuasive Technology and the Effect of Age and Gender;Oyibo;"Mean scores of social influence strategies and group difference significance test (the bold values indicate significant difference between two groups); young = age 18-24, old = age >24; artificially extended to the age groups of the recommender.";Scale;9;1;9;20-29;;6,72;;;;;5,7025;5,575;;;;;
Investigation of the Persuasiveness of Social Influence in Persuasive Technology and the Effect of Age and Gender;Oyibo;"Mean scores of social influence strategies and group difference significance test (the bold values indicate significant difference between two groups); young = age 18-24, old = age >24; artificially extended to the age groups of the recommender.";Scale;9;1;9;30-39;;6,65;;;;;5,4;5,29;;;;;
Investigation of the Persuasiveness of Social Influence in Persuasive Technology and the Effect of Age and Gender;Oyibo;"Mean scores of social influence strategies and group difference significance test (the bold values indicate significant difference between two groups); young = age 18-24, old = age >24; artificially extended to the age groups of the recommender.";Scale;9;1;9;>39;;6,65;;;;;5,4;5,29;;;;;
Gamification in Education– Learners’ Choice of Game Design Elements for Increased Learning Motivation (Manuscript);Maraquardt;Ranking of Game Elements (1 Best, 10 Worst), with age groups: <20, 20-26, >26 artificially extended.;Scale;1;1;10;<20;;2,34;1,5;6;10;9;7;;8;;;;
Gamification in Education– Learners’ Choice of Game Design Elements for Increased Learning Motivation (Manuscript);Maraquardt;Ranking of Game Elements (1 Best, 10 Worst), with age groups: <20, 20-26, >26 artificially extended.;Scale;1;1;10;20-29;;2,56;1,4;3;10;7;8;;9;;;;
Gamification in Education– Learners’ Choice of Game Design Elements for Increased Learning Motivation (Manuscript);Maraquardt;Ranking of Game Elements (1 Best, 10 Worst), with age groups: <20, 20-26, >26 artificially extended.;Scale;1;1;10;30-39;;3,56;1,2;4;10;7;8;;9;;;;
Gamification in Education– Learners’ Choice of Game Design Elements for Increased Learning Motivation (Manuscript);Maraquardt;Ranking of Game Elements (1 Best, 10 Worst), with age groups: <20, 20-26, >26 artificially extended.;Scale;1;1;10;>39;;3,56;1,2;4;10;7;8;;9;;;;
Using Gamification to Enhance User Motivation: The Influence of Gender and Age;Jent;"Eigene Zusammenrechnung basierend  auf der Tabelle des Papers (Je niedriger der Wert, desto beliebter; very motivated bis not motivated eingeteilt wie schulnoten); Groups 20-29,30-39,40-49,50-64 artificially adapted.";Scale;1;1;5;<20;;2,5;2,5;;;2,5;2,5;;;;;;
Using Gamification to Enhance User Motivation: The Influence of Gender and Age;Jent;"Eigene Zusammenrechnung basierend  auf der Tabelle des Papers (Je niedriger der Wert, desto beliebter; very motivated bis not motivated eingeteilt wie schulnoten); Groups 20-29,30-39,40-49,50-64 artificially adapted.";Scale;1;1;5;20-29;;2,63;2,52;;;2,69;3,11;;;;;;
Using Gamification to Enhance User Motivation: The Influence of Gender and Age;Jent;"Eigene Zusammenrechnung basierend  auf der Tabelle des Papers (Je niedriger der Wert, desto beliebter; very motivated bis not motivated eingeteilt wie schulnoten); Groups 20-29,30-39,40-49,50-64 artificially adapted.";Scale;1;1;5;30-39;;2,78;2,53;;;2,61;2,9;;;;;;
Using Gamification to Enhance User Motivation: The Influence of Gender and Age;Jent;"Eigene Zusammenrechnung basierend  auf der Tabelle des Papers (Je niedriger der Wert, desto beliebter; very motivated bis not motivated eingeteilt wie schulnoten); Groups 20-29,30-39,40-49,50-64 artificially adapted.";Scale;1;1;5;>39;;3,001666667;2,67;;;2,9;3,25;;;;;;
