title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element;PositiveNumber;7;0;7;male;;3;1;2;2;1;4;4;2;0;1;0;2
Tailored gamification: A review of literature;Klock et al.;Number of Papers that suggest game element;PositiveNumber;7;0;7;female;;6;3;2;3;1;5;2;2;1;1;1;2
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Mean";Coefficient;1;-1;1;male;;-0,112;-0,073;;-0,136;-0,076;0,205;0,205;;-0,287;-0,016;-0,016;0,13
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Mean";Coefficient;1;-1;1;female;;0,233;0,165;;0,311;0,369;-0,366;-0,366;;0,628;0,02;0,02;-0,246
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;Descision Tree ablesen (laut paper ist gender nicht so relevant), game elemente auch nicht so im Fokus;Binary;1;0;1;male;;;;1;;1;1;1;;;;;1
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;Descision Tree ablesen (laut paper ist gender nicht so relevant), game elemente auch nicht so im Fokus;Binary;1;0;1;female;;;;1;;0;1;0;;;;;0
Investigation of the Persuasiveness of Social Influence in Persuasive Technology and the Effect of Age and Gender;Oyibo et al.;Mean scores of social influence strategies and group difference significance test (the bold values indicate significant difference between two groups);Scale;9;1;9;male;;7,03;;;;;5,91;5,56;;;;;
Investigation of the Persuasiveness of Social Influence in Persuasive Technology and the Effect of Age and Gender;Oyibo et al.;Mean scores of social influence strategies and group difference significance test (the bold values indicate significant difference between two groups);Scale;9;1;9;female;;6,44;;;;;5,43;5,44;;;;;
Using Gamification to Enhance User Motivation: The Influence of Gender and Age;Jent et al.;"Tabelle mit Motivation in Prozent; Eigene Zusammenrechnung basierend  auf der Tabelle des Papers (Je niedriger der Wert, desto beliebter; very motivated bis not motivated eingeteilt wie schulnoten)";Scale;1;1;5;male;;2,825;2,53;;;2,72;3,04;;;;;;
Using Gamification to Enhance User Motivation: The Influence of Gender and Age;Jent et al.;"Tabelle mit Motivation in Prozent; Eigene Zusammenrechnung basierend  auf der Tabelle des Papers (Je niedriger der Wert, desto beliebter; very motivated bis not motivated eingeteilt wie schulnoten)";Scale;1;1;5;female;;2,935;2,64;;;2,77;3,14;;;;;;
Tailored Gamification to Educational Technologies;Oliveira et al.;"textuell bzw bildlich genannt (Überschneidungen bzw Präferenzen - zwei bubbles); zwei versionen: considering 3/5 Elements; fett gedruckt: genderspezifisch; rest: überschneidung. Die Berechnung des Scores ergibt sich, ob die Elemente unter den Top 3 oder Top 5 waren und ob mehrere Elemente genannt werden: Wenn in Top 3 = 2 , Top 5 = 1 (und dann jeweils einmal jedes Element in der besten Top Liste gerechnet zusammen addiert, wenn pro Gamification element mehrere elemente)";PositiveNumber;6;0;6;male;;2;2;;2;;1;;;;;;
Tailored Gamification to Educational Technologies;Oliveira et al.;"textuell bzw bildlich genannt (Überschneidungen bzw Präferenzen - zwei bubbles); zwei versionen: considering 3/5 Elements; fett gedruckt: genderspezifisch; rest: überschneidung. Die Berechnung des Scores ergibt sich, ob die Elemente unter den Top 3 oder Top 5 waren und ob mehrere Elemente genannt werden: Wenn in Top 3 = 2 , Top 5 = 1 (und dann jeweils einmal jedes Element in der besten Top Liste gerechnet zusammen addiert, wenn pro Gamification element mehrere elemente)";PositiveNumber;6;0;6;female;;3;1;;1;;2;;;;;;
Gamification in Education– Learners’ Choice of Game Design Elements for Increased Learning Motivation (Manuscript);Maraquardt et al.;Prioritäten abhängig vom Geschlecht (Prio 1 bedeutet höchste Präferenz);Rank;1;1;10;female;;3,57;1,4;2;10;6;8;;9;;;;
Gamification in Education– Learners’ Choice of Game Design Elements for Increased Learning Motivation (Manuscript);Maraquardt et al.;Prioritäten abhängig vom Geschlecht (Prio 1 bedeutet höchste Präferenz);Rank;1;1;10;male;;2,56;1,3;4;10;8;7;;9;;;;
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;female;2.99;3.91;4.19;3.79;3.57;3.53;3.65;3.6;3.21;3.43;4.11;3.41;3.59
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;5;1;5;male;2.95;3.85;4.13;3.53;3.35;3.5;3.83;3.53;3.33;3.05;4.06;3.06;3.59
