title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;"Tabelle 4 Auswertung (First = 1, Second = 2, Third Option = 3); 21 Elemente insgesammt im Paper, maxZahl hier:13 (wenn keine Bewertung dann 6,5)";Scale;1;1;13;remember;;1;2,3;;6,5;;;;;;;;
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;"Tabelle 4 Auswertung (First = 1, Second = 2, Third Option = 3); 21 Elemente insgesammt im Paper, maxZahl hier:13";Scale;1;1;13;understand;;6,5;2,3;;1;;;;;;;;
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;"Tabelle 4 Auswertung (First = 1, Second = 2, Third Option = 3); 21 Elemente insgesammt im Paper, maxZahl hier:13";Scale;1;1;13;apply;;1;2,3;;6,5;;;;;;;;
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;"Tabelle 4 Auswertung (First = 1, Second = 2, Third Option = 3); 21 Elemente insgesammt im Paper, maxZahl hier:13";Scale;1;1;13;analyze;;1,3;2;;6,5;;;;;;;;
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;"Tabelle 4 Auswertung (First = 1, Second = 2, Third Option = 3); 21 Elemente insgesammt im Paper, maxZahl hier:13";Scale;1;1;13;evaluate;;1,3;2;;6,5;;;;;;;;
Automating Gamification Personalization to the User and Beyond;Rodrigues et al.;"Tabelle 4 Auswertung (First = 1, Second = 2, Third Option = 3); 21 Elemente insgesammt im Paper, maxZahl hier:13";Scale;1;1;13;create;;6,5;1,3;;6,5;;;;;;;;
Mapping learning and game mechanics for serious games analysis: Mapping learning and game mechanics;Arnab et al.;Tabelle mit Game bzw Learning mechanics (eher serious games aber weitgehende übertragung);Binary;1;0;1;create;0;0;0;1;1;1;0;0;1;0;1;;1
Mapping learning and game mechanics for serious games analysis: Mapping learning and game mechanics;Arnab et al.;Tabelle mit Game bzw Learning mechanics (eher serious games aber weitgehende übertragung);Binary;1;0;1;evaluate;1;1;0;1;0;0;0;1;1;0;0;;0
Mapping learning and game mechanics for serious games analysis: Mapping learning and game mechanics;Arnab et al.;Tabelle mit Game bzw Learning mechanics (eher serious games aber weitgehende übertragung);Binary;1;0;1;analyze;0;0;0;1;0;1;0;1;0;0;0;;0
Mapping learning and game mechanics for serious games analysis: Mapping learning and game mechanics;Arnab et al.;Tabelle mit Game bzw Learning mechanics (eher serious games aber weitgehende übertragung);Binary;1;0;1;apply;1;0;1;0;0;1;1;1;1;0;0;;0
Mapping learning and game mechanics for serious games analysis: Mapping learning and game mechanics;Arnab et al.;Tabelle mit Game bzw Learning mechanics (eher serious games aber weitgehende übertragung);Binary;1;0;1;understand;1;0;0;0;0;1;0;0;0;1;0;;0
Mapping learning and game mechanics for serious games analysis: Mapping learning and game mechanics;Arnab et al.;Tabelle mit Game bzw Learning mechanics (eher serious games aber weitgehende übertragung);Binary;1;0;1;remember;0;0;0;1;0;1;0;1;1;0;0;;0
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;3;1;3;analyze;1.467780429594272;2.4285714285714284;2.6519607843137254;2.510948905109489;;2.1343283582089554;1.9336609336609336;2.478048780487805;;2.4411764705882355;2.203931203931204;;2.148989898989899
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;3;1;3;apply;1.820823244552058;2.602439024390244;2.6973365617433416;2.476997578692494;;2.012376237623762;2.347826086956522;2.2776412776412776;;2.300995024875622;2.518427518427518;;2.079012345679012
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;3;1;3;create;1.4697336561743342;2.480392156862745;2.5481481481481483;2.471604938271605;;2.2493765586034913;2.0148148148148146;2.2846534653465347;;2.3817733990147785;2.2506203473945408;;2.154040404040404
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;3;1;3;evaluate;1.4987893462469735;2.359413202933985;2.5788177339901477;2.4563106796116503;;2.002481389578164;1.8308823529411764;2.4541062801932365;;2.3341523341523343;2.0396039603960396;;2.304785894206549
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;3;1;3;remember;1.6297071129707112;2.586864406779661;2.806451612903226;2.3447537473233404;;2.0323275862068964;2.211206896551724;2.11587982832618;;2.199570815450644;2.4504310344827585;;2.090909090909091
A Recommender System and Survey for Tailored Gamification in Digital Education;Ricker;User Study;Scale;3;1;3;understand;1.3886255924170616;2.4394299287410925;2.6522781774580335;2.50354609929078;;2.2560975609756095;1.8878281622911695;2.4489311163895486;;2.4591346153846154;2.2200956937799043;;2.197530864197531
