title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Makiert in der original Tabelle (*p<05. **p<01.)";Coefficient;1;-1;1;agreeableness;;0,052;-0,08;;0;0,119;0,067;0,067;;0,106;-0,077;-0,077;0,015
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Makiert in der original Tabelle (*p<05. **p<01.)";Coefficient;1;-1;1;conscientiousness;;-0,136;0,079;;-0,154;0,019;0,029;0,029;;0,04;0,068;0,068;0,053
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Makiert in der original Tabelle (*p<05. **p<01.)";Coefficient;1;-1;1;extraversion;;0,107;0,031;;0,035;0,035;0,323;0,323;;0,316;0,086;0,086;0,002
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Makiert in der original Tabelle (*p<05. **p<01.)";Coefficient;1;-1;1;neuroticism;;0,194;0,044;;0,145;0,119;-0,144;-0,144;;0,046;-0,03;-0,03;0,092
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"Bivariate Correlation (how strong is the association between two variables); Values between 1 and -1. Makiert in der original Tabelle (*p<05. **p<01.)";Coefficient;1;-1;1;openness;;0,019;-0,044;;0,306;0,14;-0,027;-0,027;;0,147;-0,019;-0,019;0,084
Factors to Consider for Tailored Gamification;Hallifax et al.;PLS Path Coefficients for each user type of each typology (not significant = p>.05 = * and significant = p<.001 = **);Coefficient;1;-1;1;agreeableness;-0,005;-0,023333333;-0,12;;;0,04;-0,14;0,05;0,12;;;;
Factors to Consider for Tailored Gamification;Hallifax et al.;PLS Path Coefficients for each user type of each typology (not significant = p>.05 = * and significant = p<.001 = **);Coefficient;1;-1;1;conscientiousness;0,07;-0,013333333;0,07;;;0,05;0,02;-0,06;-0,15;;;;
Factors to Consider for Tailored Gamification;Hallifax et al.;PLS Path Coefficients for each user type of each typology (not significant = p>.05 = * and significant = p<.001 = **);Coefficient;1;-1;1;extraversion;-0,01;0,01;-0,02;;;0,03;-0,02;-0,04;0,03;;;;
Factors to Consider for Tailored Gamification;Hallifax et al.;PLS Path Coefficients for each user type of each typology (not significant = p>.05 = * and significant = p<.001 = **);Coefficient;1;-1;1;neuroticism;0;0,016666667;-0,06;;;-0,03;0,02;-0,04;0,1;;;;
Factors to Consider for Tailored Gamification;Hallifax et al.;PLS Path Coefficients for each user type of each typology (not significant = p>.05 = * and significant = p<.001 = **);Coefficient;1;-1;1;openness;-0,005;-0,033333333;-0,1;;;-0,03;-0,05;0,115;0,04;;;;
