title;author;paperType;resultType;bestValue;minValue;maxValue;parameterValue;TimePressure;Incentive;Progression;Feedback;Customization;Immersion;Competition;Guild;VirtualEconomy;Assistance;Challenge;Chance;Altruism
Tailored gamification: A review of literature;Klock;Review;PositiveNumber;6;0;6;achiever;;2;4;3;1;8;6;3;3;0;5;1;1
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;achiever;;0;1;;;2;2;2;;0;2;2;1
Factors to Consider for Tailored Gamification;Hallifax et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;achiever;;1;0;;;0;0;0;0;;;;
The Gamification User Types Hexad Scale ;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;achiever;;2;2;2;0;0;0;0;0;;2;;0
Tailored gamification: A review of literature;Klock;Review;PositiveNumber;6;0;6;disruptor;;1;1;1;3;6;2;0;1;0;2;1;2
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;disruptor;;0;0;;;1;0;0;;0;1;1;0
Factors to Consider for Tailored Gamification;Hallifax et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;disruptor;;0;1;;;0;1;0;0;;;;
The Gamification User Types Hexad Scale ;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;disruptor;;0;0;0;0;0;2;0;0;;2;;2
Tailored gamification: A review of literature;Klock;Review;PositiveNumber;6;0;6;freeSpirit;;0;1;3;4;13;0;0;0;0;2;0;0
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;freeSpirit;;0;0;;;2;0;0;;0;0;0;0
Factors to Consider for Tailored Gamification;Hallifax et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;freeSpirit;;1;0;;;0;0;0;0;;;;
The Gamification User Types Hexad Scale ;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;freeSpirit;;0;0;2;2;2;0;0;0;;2;;2
Tailored gamification: A review of literature;Klock;Review;PositiveNumber;6;0;6;philanthropist;;0;1;1;1;6;2;3;4;0;2;0;1
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;philanthropist;;0;1;;;1;0;0;;0;0;0;2
Factors to Consider for Tailored Gamification;Hallifax et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;philanthropist;;0;0;;;0;0;0;0;;;;
The Gamification User Types Hexad Scale ;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;philanthropist;;0;0;0;0;0;0;0;0;;0;;0
Tailored gamification: A review of literature;Klock;Review;PositiveNumber;6;0;6;player;;9;2;3;1;4;11;4;7;0;2;1;1
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;player;;2;0;;;0;2;2;;0;2;2;0
Factors to Consider for Tailored Gamification;Hallifax et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;player;;0;0;;;0;0;0;0;;;;
The Gamification User Types Hexad Scale ;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;player;;2;2;0;0;0;2;0;0;;2;;0
Tailored gamification: A review of literature;Klock;Review;PositiveNumber;6;0;6;socializer;;2;1;3;2;3;8;9;1;1;1;1;1
Elements of Gameful Design Emerging from User Preferences;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;socializer;;0;0;;;0;2;2;;1;0;0;2
Factors to Consider for Tailored Gamification;Hallifax et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;socializer;;0;1;;;2;0;3;1;;;;
The Gamification User Types Hexad Scale ;Tondello et al.;"P<0.05 = 1; p < 0.01 = 2";PositiveNumber;3;0;3;socializer;;0;0;0;0;0;2;2;0;;0;;0
